['[Sun', 'Dec', '04', '04:47:44', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:51:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:51:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:51:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:51:55', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:52:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:52:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:52:15', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:52:52', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:52:52', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:53:16', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:53:16', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:53:54', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:54:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:54:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:54:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:54:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '7'] 
['[Sun', 'Dec', '04', '04:54:20', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:56:59', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:57:00', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:57:24', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:57:24', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:58:18', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
['[Sun', 'Dec', '04', '04:58:58', '2005]', '[error]', 'mod_jk', 'child', 'workerEnv', 'in', 'error', 'state', '6'] 
